Line,bus0,bus1
3355,"(80.8583441, 26.8806865)","(80.8598691, 26.8825241)"
3356,"(80.8598691, 26.8825241)","(80.8622005, 26.8850854)"
3357,"(80.8622005, 26.8850854)","(80.8642975, 26.8873454)"
3358,"(80.8642975, 26.8873454)","(80.8656379, 26.8887338)"
3359,"(80.8397935, 26.77255)","(80.8395649, 26.7724552)"
3360,"(80.8395649, 26.7724552)","(80.8381478, 26.7731659)"
3361,"(80.8381478, 26.7731659)","(80.836904, 26.7729481)"
3362,"(80.836904, 26.7729481)","(80.8347716, 26.7715452)"
3363,"(80.8347716, 26.7715452)","(80.8322408, 26.7698314)"
3364,"(80.8322408, 26.7698314)","(80.8308517, 26.7682989)"
3365,"(80.8308517, 26.7682989)","(80.8296079, 26.7669191)"
3366,"(80.8296079, 26.7669191)","(80.8282187, 26.7654283)"
3367,"(80.8282187, 26.7654283)","(80.8285055, 26.7645508)"
3368,"(80.8285055, 26.7645508)","(80.8304492, 26.7622339)"
3369,"(80.8304492, 26.7622339)","(80.8323003, 26.759978)"
3370,"(80.8323003, 26.759978)","(80.8342146, 26.7576787)"
3371,"(80.8342146, 26.7576787)","(80.8361131, 26.755389)"
3372,"(80.8361131, 26.755389)","(80.8359836, 26.7545241)"
3373,"(80.8359836, 26.7545241)","(80.8358154, 26.7543026)"
3374,"(80.8358154, 26.7543026)","(80.8356658, 26.7541057)"
3375,"(80.8356658, 26.7541057)","(80.8354585, 26.7538327)"
3376,"(80.8354585, 26.7538327)","(80.8352673, 26.7521914)"
3377,"(80.8352673, 26.7521914)","(80.8371932, 26.7503977)"
3378,"(80.8371932, 26.7503977)","(80.8390954, 26.7485853)"
3379,"(80.8390954, 26.7485853)","(80.8399032, 26.7484891)"
3380,"(80.8399032, 26.7484891)","(80.8402723, 26.7485062)"
3381,"(80.8402723, 26.7485062)","(80.8405774, 26.7485204)"
3382,"(80.8405774, 26.7485204)","(80.8410434, 26.748542)"
3383,"(80.8410434, 26.748542)","(80.8440053, 26.7482359)"
3384,"(80.8440053, 26.7482359)","(80.8463926, 26.747683)"
3385,"(80.8463926, 26.747683)","(80.84901, 26.7471027)"
3386,"(80.84901, 26.7471027)","(80.851122, 26.7466253)"
3387,"(80.851122, 26.7466253)","(80.8533261, 26.7469225)"
3388,"(80.8533261, 26.7469225)","(80.8544487, 26.7490117)"
3389,"(80.8544487, 26.7490117)","(80.8547018, 26.7490879)"
3390,"(80.8547018, 26.7490879)","(80.8548967, 26.7489238)"
3391,"(80.8548967, 26.7489238)","(80.8548477, 26.7485228)"
3392,"(80.8548477, 26.7485228)","(80.8546198, 26.7479727)"
3393,"(80.8880084, 26.8462463)","(80.8859726, 26.8463167)"
3394,"(80.8859726, 26.8463167)","(80.8828371, 26.8464219)"
3395,"(80.8828371, 26.8464219)","(80.879708, 26.8465347)"
3396,"(80.879708, 26.8465347)","(80.8767727, 26.8466346)"
3397,"(80.8767727, 26.8466346)","(80.873669, 26.8476135)"
3398,"(80.873669, 26.8476135)","(80.8706024, 26.848587)"
3399,"(80.8706024, 26.848587)","(80.8681223, 26.8488903)"
3400,"(80.8681223, 26.8488903)","(80.8657266, 26.8491669)"
3401,"(80.8657266, 26.8491669)","(80.8631993, 26.8494577)"
3402,"(80.8631993, 26.8494577)","(80.8600956, 26.8498229)"
3403,"(80.8600956, 26.8498229)","(80.8571486, 26.8502229)"
3404,"(80.8571486, 26.8502229)","(80.8551614, 26.8492586)"
3405,"(80.8551614, 26.8492586)","(80.8523087, 26.8478191)"
3406,"(80.8523087, 26.8478191)","(80.8521569, 26.8477511)"
3407,"(80.8521569, 26.8477511)","(80.8508698, 26.8470901)"
3408,"(80.8508698, 26.8470901)","(80.8497037, 26.8464911)"
3409,"(80.8497037, 26.8464911)","(80.8495963, 26.846436)"
3410,"(80.8495963, 26.846436)","(80.849491, 26.8463819)"
3411,"(80.849491, 26.8463819)","(80.8465842, 26.8449097)"
3412,"(80.8465842, 26.8449097)","(80.8435917, 26.8433886)"
3413,"(80.8435917, 26.8433886)","(80.8412138, 26.8422139)"
3414,"(80.8412138, 26.8422139)","(80.8407537, 26.8419866)"
3415,"(80.8407537, 26.8419866)","(80.8379816, 26.8405483)"
3416,"(80.8379816, 26.8405483)","(80.8350668, 26.8390809)"
3417,"(80.8350668, 26.8390809)","(80.8323168, 26.837681)"
3418,"(80.8323168, 26.837681)","(80.8311395, 26.8370765)"
3419,"(80.8311395, 26.8370765)","(80.8294054, 26.836186)"
3420,"(80.8294054, 26.836186)","(80.828126, 26.8354437)"
3421,"(80.828126, 26.8354437)","(80.8268048, 26.8346772)"
3422,"(80.8268048, 26.8346772)","(80.8244889, 26.8333479)"
3423,"(80.8244889, 26.8333479)","(80.8237404, 26.8329336)"
3424,"(80.8793269, 26.9195792)","(80.8793851, 26.9212331)"
3425,"(80.8793851, 26.9212331)","(80.879599, 26.9240134)"
3426,"(80.879599, 26.9240134)","(80.8797933, 26.9267662)"
3427,"(80.8797933, 26.9267662)","(80.8800083, 26.9296094)"
3428,"(80.8800083, 26.9296094)","(80.8801345, 26.9314064)"
3429,"(80.8801345, 26.9314064)","(80.8786431, 26.9338046)"
3430,"(80.8786431, 26.9338046)","(80.8769502, 26.9363272)"
3431,"(80.8769502, 26.9363272)","(80.8752268, 26.9389341)"
3432,"(80.8752268, 26.9389341)","(80.8734671, 26.9414594)"
3433,"(80.8734671, 26.9414594)","(80.8717722, 26.9439899)"
3434,"(80.8717722, 26.9439899)","(80.8700176, 26.9466417)"
3435,"(80.8700176, 26.9466417)","(80.8682456, 26.9492452)"
3436,"(80.8682456, 26.9492452)","(80.8665887, 26.9517489)"
3437,"(80.8665887, 26.9517489)","(80.8648439, 26.9543647)"
3438,"(80.8648439, 26.9543647)","(80.8631305, 26.9569555)"
3439,"(80.8631305, 26.9569555)","(80.8613639, 26.9595662)"
3440,"(80.8613639, 26.9595662)","(80.8608405, 26.9624583)"
3441,"(80.8608405, 26.9624583)","(80.8603255, 26.9653002)"
3442,"(80.8603255, 26.9653002)","(80.8597932, 26.9682232)"
3443,"(80.8597932, 26.9682232)","(80.8593486, 26.9704895)"
3444,"(80.8593486, 26.9704895)","(80.8588099, 26.9735214)"
3445,"(80.8588099, 26.9735214)","(80.8582552, 26.9765497)"
3446,"(80.8582552, 26.9765497)","(80.8577401, 26.9793883)"
3447,"(80.8577401, 26.9793883)","(80.8573687, 26.9813521)"
3448,"(80.8573687, 26.9813521)","(80.858721, 26.9826114)"
3449,"(80.858721, 26.9826114)","(80.8587769, 26.9834603)"
3450,"(80.8587769, 26.9834603)","(80.8576289, 26.9846123)"
3451,"(80.8576289, 26.9846123)","(80.8566076, 26.9856126)"
3452,"(80.8566076, 26.9856126)","(80.8562202, 26.9875668)"
3453,"(80.8562202, 26.9875668)","(80.8556934, 26.9904081)"
3454,"(80.8556934, 26.9904081)","(80.8551635, 26.9933351)"
3455,"(80.8551635, 26.9933351)","(80.8546132, 26.9962606)"
3456,"(80.8546132, 26.9962606)","(80.8540739, 26.9991427)"
3457,"(80.8540739, 26.9991427)","(80.8535524, 27.0021032)"
3458,"(80.8535524, 27.0021032)","(80.8531361, 27.0042867)"
3459,"(80.8531361, 27.0042867)","(80.8538278, 27.0069825)"
3460,"(80.8538278, 27.0069825)","(80.8545084, 27.009628)"
3461,"(80.8545084, 27.009628)","(80.8551607, 27.0122611)"
3462,"(80.8551607, 27.0122611)","(80.8558296, 27.0148944)"
3463,"(80.8558296, 27.0148944)","(80.8564951, 27.0175396)"
3464,"(80.8564951, 27.0175396)","(80.8571477, 27.0201297)"
3465,"(80.8571477, 27.0201297)","(80.8578258, 27.0227411)"
3466,"(80.8578258, 27.0227411)","(80.8584465, 27.0252271)"
3467,"(80.8584465, 27.0252271)","(80.8594821, 27.0283037)"
3468,"(80.8594821, 27.0283037)","(80.8604857, 27.0311615)"
3469,"(80.8604857, 27.0311615)","(80.8614732, 27.0340572)"
3470,"(80.8614732, 27.0340572)","(80.8624234, 27.036891)"
3471,"(80.8624234, 27.036891)","(80.8634483, 27.0397866)"
3472,"(80.8634483, 27.0397866)","(80.8644349, 27.0427304)"
3473,"(80.8644349, 27.0427304)","(80.8653961, 27.0455505)"
3474,"(80.8653961, 27.0455505)","(80.8663872, 27.0484859)"
3475,"(80.8663872, 27.0484859)","(80.8673783, 27.0513591)"
3476,"(80.8673783, 27.0513591)","(80.8683894, 27.0542618)"
3477,"(80.8683894, 27.0542618)","(80.8693838, 27.057126)"
3478,"(80.8693838, 27.057126)","(80.8703549, 27.0600375)"
3479,"(80.8703549, 27.0600375)","(80.8713427, 27.0629104)"
3480,"(80.8713427, 27.0629104)","(80.8723305, 27.0658039)"
3481,"(80.8723305, 27.0658039)","(80.873315, 27.0687003)"
3482,"(80.873315, 27.0687003)","(80.8742994, 27.071576)"
3483,"(80.8742994, 27.071576)","(80.8743992, 27.0742205)"
3484,"(80.8743992, 27.0742205)","(80.8745187, 27.0772152)"
3485,"(80.8745187, 27.0772152)","(80.8746488, 27.0801913)"
3486,"(80.8746488, 27.0801913)","(80.8747627, 27.0833306)"
3487,"(80.8747627, 27.0833306)","(80.8748878, 27.0863794)"
3488,"(80.8748878, 27.0863794)","(80.8749849, 27.0894211)"
3489,"(80.8749849, 27.0894211)","(80.8751096, 27.0924339)"
3490,"(80.8751096, 27.0924339)","(80.8752177, 27.0954836)"
3491,"(80.8752177, 27.0954836)","(80.8738679, 27.0975257)"
3492,"(80.8738679, 27.0975257)","(80.8724636, 27.099675)"
3493,"(80.8724636, 27.099675)","(80.8710446, 27.1018418)"
3494,"(80.8710446, 27.1018418)","(80.8697783, 27.1037147)"
3495,"(80.8697783, 27.1037147)","(80.8689753, 27.106473)"
3496,"(80.8689753, 27.106473)","(80.8682065, 27.1091138)"
3497,"(80.8682065, 27.1091138)","(80.8674116, 27.1118468)"
3498,"(80.8674116, 27.1118468)","(80.866612, 27.114596)"
3499,"(80.866612, 27.114596)","(80.8657874, 27.1174272)"
3500,"(80.8657874, 27.1174272)","(80.864959, 27.1202717)"
3501,"(80.864959, 27.1202717)","(80.864137, 27.123094)"
3502,"(80.864137, 27.123094)","(80.86329, 27.1259202)"
3503,"(80.86329, 27.1259202)","(80.8624819, 27.1287443)"
3504,"(80.8624819, 27.1287443)","(80.8617093, 27.1313438)"
3505,"(80.8617093, 27.1313438)","(80.8609367, 27.1339993)"
3506,"(80.8609367, 27.1339993)","(80.8600971, 27.1368793)"
3507,"(80.8600971, 27.1368793)","(80.8592654, 27.1397171)"
3508,"(80.8592654, 27.1397171)","(80.8584416, 27.1425514)"
3509,"(80.8584416, 27.1425514)","(80.8575941, 27.1454101)"
3510,"(80.8575941, 27.1454101)","(80.8561844, 27.1481131)"
3511,"(80.8561844, 27.1481131)","(80.8547679, 27.1508292)"
3512,"(80.8547679, 27.1508292)","(80.8532976, 27.1535965)"
3513,"(80.8532976, 27.1535965)","(80.8519267, 27.1562343)"
3514,"(80.8519267, 27.1562343)","(80.8505581, 27.1588679)"
3515,"(80.8505581, 27.1588679)","(80.8491469, 27.1616034)"
3516,"(80.8491469, 27.1616034)","(80.8476924, 27.1643705)"
3517,"(80.8476924, 27.1643705)","(80.8464074, 27.1668499)"
3518,"(80.8464074, 27.1668499)","(80.8448977, 27.1697185)"
3519,"(80.8448977, 27.1697185)","(80.843451, 27.1724714)"
3520,"(80.843451, 27.1724714)","(80.8420162, 27.1752206)"
3521,"(80.8420162, 27.1752206)","(80.8407036, 27.1777033)"
3522,"(80.8407036, 27.1777033)","(80.8399467, 27.18054)"
3523,"(80.8399467, 27.18054)","(80.8391663, 27.1834644)"
3524,"(80.8391663, 27.1834644)","(80.8383977, 27.1863993)"
3525,"(80.8383977, 27.1863993)","(80.8376133, 27.1893059)"
3526,"(80.8376133, 27.1893059)","(80.8368722, 27.192202)"
3527,"(80.8368722, 27.192202)","(80.8360839, 27.195077)"
3528,"(80.8360839, 27.195077)","(80.8353822, 27.1977275)"
3529,"(80.8353822, 27.1977275)","(80.8346222, 27.2005962)"
3530,"(80.8346222, 27.2005962)","(80.8338646, 27.2033734)"
3531,"(80.8338646, 27.2033734)","(80.8331317, 27.206178)"
3532,"(80.8331317, 27.206178)","(80.8324111, 27.2088949)"
3533,"(80.8324111, 27.2088949)","(80.8316474, 27.2117924)"
3534,"(80.8316474, 27.2117924)","(80.8309526, 27.2143777)"
3535,"(80.8309526, 27.2143777)","(80.8301199, 27.2175281)"
3536,"(80.8301199, 27.2175281)","(80.8300756, 27.2203806)"
3537,"(80.8300756, 27.2203806)","(80.8300706, 27.2232942)"
3538,"(80.8300706, 27.2232942)","(80.8300115, 27.2259275)"
3539,"(80.8300115, 27.2259275)","(80.8299721, 27.2289593)"
3540,"(80.8299721, 27.2289593)","(80.8299573, 27.2317369)"
3541,"(80.8299573, 27.2317369)","(80.8299228, 27.2346153)"
3542,"(80.8299228, 27.2346153)","(80.8298883, 27.2375549)"
3543,"(80.8298883, 27.2375549)","(80.8298391, 27.2404506)"
3544,"(80.8298391, 27.2404506)","(80.8298194, 27.2435477)"
3545,"(80.8298194, 27.2435477)","(80.8297849, 27.2464652)"
3546,"(80.8297849, 27.2464652)","(80.8297553, 27.2492862)"
3547,"(80.8297553, 27.2492862)","(80.8297257, 27.2521422)"
3548,"(80.8297257, 27.2521422)","(80.8296912, 27.2550332)"
3549,"(80.8296912, 27.2550332)","(80.8295681, 27.2579854)"
3550,"(80.8295681, 27.2579854)","(80.8296321, 27.2606265)"
3551,"(80.8296321, 27.2606265)","(80.8283249, 27.26343)"
3552,"(80.8283249, 27.26343)","(80.8270392, 27.2661062)"
3553,"(80.8270392, 27.2661062)","(80.8257621, 27.2687946)"
3554,"(80.8257621, 27.2687946)","(80.8244851, 27.2714982)"
3555,"(80.8244851, 27.2714982)","(80.8232725, 27.2740963)"
3556,"(80.8232725, 27.2740963)","(80.8221982, 27.2763356)"
3557,"(80.8221982, 27.2763356)","(80.8219083, 27.2783603)"
3558,"(80.8219083, 27.2783603)","(80.8215055, 27.2811741)"
3559,"(80.8215055, 27.2811741)","(80.8211096, 27.2839458)"
3560,"(80.8211096, 27.2839458)","(80.8207073, 27.2866914)"
3561,"(80.8207073, 27.2866914)","(80.8203102, 27.2895825)"
3562,"(80.8203102, 27.2895825)","(80.8198792, 27.2923838)"
3563,"(80.8198792, 27.2923838)","(80.8194796, 27.2951859)"
3564,"(80.8194796, 27.2951859)","(80.8190615, 27.2980627)"
3565,"(80.8190615, 27.2980627)","(80.8186471, 27.3010085)"
3566,"(80.8186471, 27.3010085)","(80.8181996, 27.304012)"
3567,"(80.8181996, 27.304012)","(80.8177602, 27.3069955)"
3568,"(80.8177602, 27.3069955)","(80.8173309, 27.3099904)"
3569,"(80.8173309, 27.3099904)","(80.8168942, 27.3129938)"
3570,"(80.8168942, 27.3129938)","(80.8165011, 27.3157017)"
3571,"(80.8165011, 27.3157017)","(80.8160248, 27.3189765)"
3572,"(80.8160248, 27.3189765)","(80.8156224, 27.3218363)"
3573,"(80.8156224, 27.3218363)","(80.8150456, 27.3255542)"
3574,"(80.8150456, 27.3255542)","(80.8146866, 27.3277353)"
3575,"(80.8146866, 27.3277353)","(80.814299, 27.3304341)"
3576,"(80.814299, 27.3304341)","(80.8138777, 27.3332406)"
3577,"(80.8138777, 27.3332406)","(80.8134249, 27.3364385)"
3578,"(80.8134249, 27.3364385)","(80.8129572, 27.3393637)"
3579,"(80.8129572, 27.3393637)","(80.812583, 27.342052)"
3580,"(80.812583, 27.342052)","(80.8121152, 27.3450477)"
3581,"(80.8121152, 27.3450477)","(80.8116942, 27.3480101)"
3582,"(80.8116942, 27.3480101)","(80.8112498, 27.3509641)"
3583,"(80.8112498, 27.3509641)","(80.8108102, 27.3539346)"
3584,"(80.8108102, 27.3539346)","(80.8103377, 27.3569965)"
3585,"(80.8103377, 27.3569965)","(80.8099308, 27.3597301)"
3586,"(80.8099308, 27.3597301)","(80.809435, 27.3626921)"
3587,"(80.809435, 27.3626921)","(80.8089205, 27.3656901)"
3588,"(80.8089205, 27.3656901)","(80.8084106, 27.3686615)"
3589,"(80.8084106, 27.3686615)","(80.8079147, 27.3716648)"
3590,"(80.8079147, 27.3716648)","(80.8073909, 27.3746929)"
3591,"(80.8073909, 27.3746929)","(80.8069325, 27.3773098)"
3592,"(80.8069325, 27.3773098)","(80.8065112, 27.3799604)"
3593,"(80.8065112, 27.3799604)","(80.8059829, 27.3828963)"
3594,"(80.8059829, 27.3828963)","(80.8054965, 27.3858203)"
3595,"(80.8054965, 27.3858203)","(80.8049931, 27.3889373)"
3596,"(80.8049931, 27.3889373)","(80.8050183, 27.3916161)"
3597,"(80.8050183, 27.3916161)","(80.8050457, 27.3945337)"
3598,"(80.8050457, 27.3945337)","(80.8050714, 27.3974999)"
3599,"(80.8050714, 27.3974999)","(80.8051135, 27.4002906)"
3600,"(80.8051135, 27.4002906)","(80.8051369, 27.4031975)"
3601,"(80.8051369, 27.4031975)","(80.8051744, 27.4061127)"
3602,"(80.8051744, 27.4061127)","(80.8052024, 27.4090028)"
3603,"(80.8052024, 27.4090028)","(80.8052318, 27.4117874)"
3604,"(80.8052318, 27.4117874)","(80.8052731, 27.4145479)"
3605,"(80.8052731, 27.4145479)","(80.8052925, 27.417539)"
3606,"(80.8052925, 27.417539)","(80.8053592, 27.4206897)"
3607,"(80.8053592, 27.4206897)","(80.8053798, 27.4232914)"
3608,"(80.8053798, 27.4232914)","(80.8054125, 27.4262849)"
3609,"(80.8054125, 27.4262849)","(80.8033497, 27.4284189)"
3610,"(80.8033497, 27.4284189)","(80.8013851, 27.4304947)"
3611,"(80.8013851, 27.4304947)","(80.7992522, 27.4327076)"
3612,"(80.7992522, 27.4327076)","(80.7972829, 27.4348082)"
3613,"(80.7972829, 27.4348082)","(80.79515, 27.4365851)"
3614,"(80.79515, 27.4365851)","(80.7928252, 27.4385196)"
3615,"(80.7928252, 27.4385196)","(80.790463, 27.4404832)"
3616,"(80.790463, 27.4404832)","(80.787998, 27.4425381)"
3617,"(80.787998, 27.4425381)","(80.7857294, 27.4444061)"
3618,"(80.7857294, 27.4444061)","(80.7834748, 27.4462907)"
3619,"(80.7834748, 27.4462907)","(80.7811407, 27.4482251)"
3620,"(80.7811407, 27.4482251)","(80.778844, 27.4501636)"
3621,"(80.778844, 27.4501636)","(80.7765466, 27.4520578)"
3622,"(80.7765466, 27.4520578)","(80.7742325, 27.4539714)"
3623,"(80.7742325, 27.4539714)","(80.7719134, 27.4559022)"
3624,"(80.7719134, 27.4559022)","(80.7696283, 27.4578047)"
3625,"(80.7696283, 27.4578047)","(80.7674681, 27.4596032)"
3626,"(80.7674681, 27.4596032)","(80.7660795, 27.4623142)"
3627,"(80.7660795, 27.4623142)","(80.7647577, 27.4649178)"
3628,"(80.7647577, 27.4649178)","(80.763434, 27.4675325)"
3629,"(80.763434, 27.4675325)","(80.7620915, 27.4701263)"
3630,"(80.7620915, 27.4701263)","(80.7607584, 27.4727409)"
3631,"(80.7607584, 27.4727409)","(80.7594347, 27.4753305)"
3632,"(80.7594347, 27.4753305)","(80.7580922, 27.4779325)"
3633,"(80.7580922, 27.4779325)","(80.7567872, 27.4805469)"
3634,"(80.7567872, 27.4805469)","(80.7554307, 27.4831986)"
3635,"(80.7554307, 27.4831986)","(80.7541022, 27.4857631)"
3636,"(80.7541022, 27.4857631)","(80.7527785, 27.4883814)"
3637,"(80.7527785, 27.4883814)","(80.7515576, 27.4908006)"
3638,"(80.7515576, 27.4908006)","(80.7501684, 27.4928794)"
3639,"(80.7501684, 27.4928794)","(80.7489943, 27.4956469)"
3640,"(80.7489943, 27.4956469)","(80.7477503, 27.4984252)"
3641,"(80.7477503, 27.4984252)","(80.7464918, 27.5009786)"
3642,"(80.7464918, 27.5009786)","(80.7451681, 27.5036339)"
3643,"(80.7451681, 27.5036339)","(80.7439987, 27.5059821)"
3644,"(80.7439987, 27.5059821)","(80.7427872, 27.508459)"
3645,"(80.7427872, 27.508459)","(80.7415523, 27.5108942)"
3646,"(80.7415523, 27.5108942)","(80.7403554, 27.5133271)"
3647,"(80.7403554, 27.5133271)","(80.739134, 27.5158096)"
3648,"(80.739134, 27.5158096)","(80.7379132, 27.518291)"
3649,"(80.7379132, 27.518291)","(80.7366792, 27.5207379)"
3650,"(80.7366792, 27.5207379)","(80.7342485, 27.5225676)"
3651,"(80.7342485, 27.5225676)","(80.7323946, 27.5247277)"
3652,"(80.7323946, 27.5247277)","(80.7306452, 27.5267976)"
3653,"(80.7306452, 27.5267976)","(80.7288163, 27.5289213)"
3654,"(80.7288163, 27.5289213)","(80.7270201, 27.5310534)"
3655,"(80.7270201, 27.5310534)","(80.7251761, 27.5332392)"
3656,"(80.7251761, 27.5332392)","(80.7233586, 27.5353312)"
3657,"(80.7233586, 27.5353312)","(80.7216743, 27.5373096)"
3658,"(80.7216743, 27.5373096)","(80.7196311, 27.5387928)"
3659,"(80.7196311, 27.5387928)","(80.7175692, 27.5402992)"
3660,"(80.7175692, 27.5402992)","(80.7155261, 27.5417724)"
3661,"(80.7155261, 27.5417724)","(80.7137449, 27.5430531)"
3662,"(80.7137449, 27.5430531)","(80.7113964, 27.5444265)"
3663,"(80.7113964, 27.5444265)","(80.7107931, 27.5447382)"
3664,"(80.7107484, 27.5436783)","(80.7116839, 27.5432337)"
3665,"(80.7116839, 27.5432337)","(80.7138118, 27.5409568)"
3666,"(80.7138118, 27.5409568)","(80.7145649, 27.5375973)"
3667,"(80.7145649, 27.5375973)","(80.7152618, 27.5344285)"
3668,"(80.7152618, 27.5344285)","(80.7160664, 27.5308655)"
3669,"(80.7160664, 27.5308655)","(80.7167554, 27.527773)"
3670,"(80.7167554, 27.527773)","(80.7175117, 27.524378)"
3671,"(80.7175117, 27.524378)","(80.7182695, 27.521018)"
3672,"(80.7182695, 27.521018)","(80.7200383, 27.5193851)"
3673,"(80.7200383, 27.5193851)","(80.7211854, 27.5171511)"
3674,"(80.7211854, 27.5171511)","(80.7228432, 27.5140656)"
3675,"(80.7228432, 27.5140656)","(80.7240585, 27.5117752)"
3676,"(80.7240585, 27.5117752)","(80.7247527, 27.5104668)"
3677,"(80.7247527, 27.5104668)","(80.7258797, 27.5083426)"
3678,"(80.7258797, 27.5083426)","(80.7272458, 27.5057677)"
3679,"(80.7272458, 27.5057677)","(80.7288783, 27.502681)"
3680,"(80.7288783, 27.502681)","(80.7308949, 27.5002988)"
3681,"(80.7308949, 27.5002988)","(80.7328963, 27.4979345)"
3682,"(80.7328963, 27.4979345)","(80.7352024, 27.4952126)"
3683,"(80.7352024, 27.4952126)","(80.7374382, 27.4925778)"
3684,"(80.7374382, 27.4925778)","(80.7395478, 27.4900467)"
3685,"(80.7395478, 27.4900467)","(80.7418024, 27.4873911)"
3686,"(80.7418024, 27.4873911)","(80.744057, 27.4847187)"
3687,"(80.744057, 27.4847187)","(80.7464145, 27.4819094)"
3688,"(80.7464145, 27.4819094)","(80.7486784, 27.4792245)"
3689,"(80.7486784, 27.4792245)","(80.750933, 27.4765561)"
3690,"(80.750933, 27.4765561)","(80.7528927, 27.4742372)"
3691,"(80.7528927, 27.4742372)","(80.7551224, 27.4715989)"
3692,"(80.7551224, 27.4715989)","(80.7573611, 27.4689498)"
3693,"(80.7573611, 27.4689498)","(80.7595958, 27.4663053)"
3694,"(80.7595958, 27.4663053)","(80.761827, 27.4636408)"
3695,"(80.761827, 27.4636408)","(80.7644511, 27.461495)"
3696,"(80.7644511, 27.461495)","(80.7671875, 27.4592247)"
3697,"(80.7671875, 27.4592247)","(80.7699332, 27.4569626)"
3698,"(80.7699332, 27.4569626)","(80.7725994, 27.4547834)"
3699,"(80.7725994, 27.4547834)","(80.7753826, 27.4524922)"
3700,"(80.7753826, 27.4524922)","(80.7778804, 27.4504583)"
3701,"(80.7778804, 27.4504583)","(80.7805981, 27.4481919)"
3702,"(80.7805981, 27.4481919)","(80.7833298, 27.4459295)"
3703,"(80.7833298, 27.4459295)","(80.7860194, 27.443717)"
3704,"(80.7860194, 27.443717)","(80.7888212, 27.4414172)"
3705,"(80.7888212, 27.4414172)","(80.7915482, 27.4391963)"
3706,"(80.7915482, 27.4391963)","(80.7944296, 27.4367968)"
3707,"(80.7944296, 27.4367968)","(80.7971987, 27.4345093)"
3708,"(80.7971987, 27.4345093)","(80.7985412, 27.4316489)"
3709,"(80.7985412, 27.4316489)","(80.8001316, 27.4282528)"
3710,"(80.8001316, 27.4282528)","(80.801605, 27.425168)"
3711,"(80.801605, 27.425168)","(80.8029989, 27.4221703)"
3712,"(80.8029989, 27.4221703)","(80.8043275, 27.419298)"
3713,"(80.8043275, 27.419298)","(80.8039164, 27.4160933)"
3714,"(80.8039164, 27.4160933)","(80.8034797, 27.4128175)"
3715,"(80.8034797, 27.4128175)","(80.8034446, 27.4093295)"
3716,"(80.8034446, 27.4093295)","(80.8035674, 27.4067393)"
3717,"(80.8035674, 27.4067393)","(80.8037019, 27.4033446)"
3718,"(80.8037019, 27.4033446)","(80.8038438, 27.399894)"
3719,"(80.8038438, 27.399894)","(80.8039665, 27.3964626)"
3720,"(80.8039665, 27.3964626)","(80.8041127, 27.3930883)"
3721,"(80.8041127, 27.3930883)","(80.804253, 27.3898489)"
3722,"(80.804253, 27.3898489)","(80.8043875, 27.3865315)"
3723,"(80.8043875, 27.3865315)","(80.8045512, 27.3831257)"
3724,"(80.8045512, 27.3831257)","(80.8046857, 27.3796939)"
3725,"(80.8046857, 27.3796939)","(80.8048217, 27.3763671)"
3726,"(80.8048217, 27.3763671)","(80.8049751, 27.3730129)"
3727,"(80.8049751, 27.3730129)","(80.8050848, 27.3696963)"
3728,"(80.8050848, 27.3696963)","(80.8052382, 27.3662043)"
3729,"(80.8052382, 27.3662043)","(80.8053689, 27.3628293)"
3730,"(80.8053689, 27.3628293)","(80.8055014, 27.3594083)"
3731,"(80.8055014, 27.3594083)","(80.8060232, 27.3563224)"
3732,"(80.8060232, 27.3563224)","(80.8065553, 27.3530299)"
3733,"(80.8065553, 27.3530299)","(80.8070815, 27.3496751)"
3734,"(80.8070815, 27.3496751)","(80.8076194, 27.3463253)"
3735,"(80.8076194, 27.3463253)","(80.8081281, 27.3430897)"
3736,"(80.8081281, 27.3430897)","(80.8086543, 27.3397293)"
3737,"(80.8086543, 27.3397293)","(80.8091981, 27.3363636)"
3738,"(80.8091981, 27.3363636)","(80.8097386, 27.3329769)"
3739,"(80.8097386, 27.3329769)","(80.8102519, 27.3296984)"
3740,"(80.8102519, 27.3296984)","(80.8107884, 27.3263951)"
3741,"(80.8107884, 27.3263951)","(80.8113248, 27.3229767)"
3742,"(80.8113248, 27.3229767)","(80.8118705, 27.3195993)"
3743,"(80.8118705, 27.3195993)","(80.8123746, 27.316382)"
3744,"(80.8123746, 27.316382)","(80.8129178, 27.3129834)"
3745,"(80.8129178, 27.3129834)","(80.8134661, 27.3095526)"
3746,"(80.8134661, 27.3095526)","(80.8139193, 27.3066186)"
3747,"(80.8139193, 27.3066186)","(80.8144558, 27.3033187)"
3748,"(80.8144558, 27.3033187)","(80.8149969, 27.2999448)"
3749,"(80.8149969, 27.2999448)","(80.8155241, 27.2967063)"
3750,"(80.8155241, 27.2967063)","(80.8160744, 27.2931555)"
3751,"(80.8160744, 27.2931555)","(80.8165739, 27.2899785)"
3752,"(80.8165739, 27.2899785)","(80.8171418, 27.2864538)"
3753,"(80.8171418, 27.2864538)","(80.8176637, 27.2831869)"
3754,"(80.8176637, 27.2831869)","(80.8182071, 27.2797908)"
3755,"(80.8182071, 27.2797908)","(80.8187505, 27.2764459)"
3756,"(80.8187505, 27.2764459)","(80.8206062, 27.2735223)"
3757,"(80.8206062, 27.2735223)","(80.822537, 27.2704753)"
